Year,Blues,Country,Electronic,Folk,Funk,Hip Hop,Jazz,Latin,Pop,Reggae,Rock,Soul,StageScreen,World,ÊStageScreen
1955-12-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1956-12-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1957-12-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1958-12-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959-12-31,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-12-31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1961-12-31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1962-12-31,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1963-12-31,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0
1964-12-31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1965-12-31,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0
1966-12-31,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0
1967-12-31,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,0.0
1968-12-31,4.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.0,0.0,0.0
1969-12-31,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0
1970-12-31,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0
1971-12-31,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0
1972-12-31,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,2.0,0.0
1973-12-31,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,16.0,4.0,0.0,0.0,0.0
1974-12-31,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0
1975-12-31,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0
1976-12-31,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0
1977-12-31,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0
1978-12-31,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0
1979-12-31,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0
1980-12-31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0
1981-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
1982-12-31,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0
1983-12-31,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
1984-12-31,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
1985-12-31,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0
1986-12-31,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0
1987-12-31,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
1988-12-31,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
